location,total_sqft,bath,balcony,price,bhk
Whitefield,1836.0,3.0,2.0,125.0,3
Electronic City,1609.0,3.0,3.0,115.0,3
Thanisandra,1265.0,2.0,1.0,79.0,3
Electronic City,770.0,1.0,1.0,35.0,2
Electronic City,1210.0,2.0,1.0,55.0,2
Whitefield,925.0,2.0,1.0,35.0,2
Hennur Road,1552.0,3.0,3.0,75.0,3
Hennur Road,2041.0,3.0,3.0,128.0,3
Sarjapur  Road,1200.0,3.0,2.0,70.0,3
Whitefield,1267.0,2.0,1.0,90.33,2
Whitefield,1345.0,3.0,1.0,58.0,3
Hennur Road,1232.0,2.0,1.0,88.0,2
Thanisandra,2144.0,3.0,2.0,135.0,3
Kanakpura Road,1550.0,3.0,3.0,67.0,3
Yelahanka,1614.0,3.0,2.0,95.0,3
Whitefield,1105.0,2.0,1.0,35.36,2
Kanakpura Road,2200.0,3.0,2.0,130.0,3
Whitefield,1850.0,3.0,2.0,150.0,3
Electronic City,1060.0,2.0,1.0,55.0,2
7th Phase JP Nagar,1680.0,3.0,2.0,117.0,3
Whitefield,1116.0,2.0,3.0,51.91,2
7th Phase JP Nagar,1463.0,2.0,1.0,61.45,3
Whitefield,1030.0,2.0,2.0,44.0,2
Yelahanka,845.0,2.0,2.0,43.0,2
Marathahalli,1693.0,3.0,1.0,125.0,3
Electronic City,880.0,2.0,1.0,19.0,2
Sarjapur  Road,1346.0,2.0,1.0,74.03,2
Electronic City,1070.0,2.0,1.0,47.0,2
Kanakpura Road,1167.0,2.0,1.0,63.0,2
Thanisandra,1245.0,2.0,1.0,83.05,2
Whitefield,1615.0,3.0,0.0,96.9,3
Sarjapur  Road,1380.0,2.0,1.0,52.0,3
Sarjapur  Road,1035.0,2.0,2.0,49.2,2
Raja Rajeshwari Nagar,1250.0,2.0,2.0,68.0,2
Hebbal,1040.0,2.0,1.0,50.0,2
Whitefield,2023.0,4.0,2.0,130.0,3
Thanisandra,2000.0,3.0,2.0,99.0,3
Uttarahalli,1180.0,2.0,1.0,41.3,2
Sarjapur  Road,1826.0,3.0,2.0,130.0,3
Sarjapur  Road,2180.0,3.0,2.0,170.0,3
Sarjapur  Road,970.0,2.0,1.0,36.0,2
Yelahanka,1350.0,2.0,2.0,54.0,2
Electronic City,1258.0,2.0,1.0,85.5,2
Yelahanka,1102.0,2.0,0.0,52.0,2
Electronic City Phase II,993.0,2.0,2.0,50.0,3
Yelahanka,1000.0,1.0,0.0,14.0,1
Bannerghatta Road,1340.0,2.0,3.0,85.0,2
Sarjapur  Road,685.0,1.0,1.0,40.0,1
Electronic City,1065.0,2.0,1.0,30.76,2
7th Phase JP Nagar,1370.0,2.0,2.0,54.79,3
Kanakpura Road,1320.0,2.0,1.0,39.6,3
Raja Rajeshwari Nagar,1419.0,2.0,2.0,48.0,2
Electronic City,550.0,1.0,1.0,15.0,2
Marathahalli,1310.0,3.0,1.0,63.25,3
Hebbal,1088.0,2.0,2.0,62.0,2
Hennur Road,1186.0,2.0,2.0,55.33,3
Sarjapur  Road,1050.0,2.0,1.0,63.5,2
Whitefield,1985.0,3.0,2.0,75.0,3
Electronic City,550.0,1.0,1.0,16.0,2
Whitefield,1270.0,2.0,2.0,65.0,3
Kanakpura Road,900.0,2.0,2.0,41.0,2
Bannerghatta Road,912.0,2.0,1.0,55.0,2
Bannerghatta Road,1400.0,2.0,2.0,78.0,2
Yelahanka,1614.0,3.0,2.0,95.0,3
Thanisandra,965.0,2.0,1.0,67.0,2
Kanakpura Road,1050.0,2.0,1.0,59.0,3
Raja Rajeshwari Nagar,1295.0,2.0,1.0,55.47,2
Electronic City Phase II,1395.0,2.0,1.0,62.78,3
Electronic City,1225.0,3.0,0.0,45.03,3
Thanisandra,1411.0,3.0,1.0,93.25,3
Kanakpura Road,1450.0,3.0,3.0,56.0,3
Thanisandra,1265.0,2.0,1.0,83.0,2
Electronic City,940.0,2.0,1.0,41.0,2
Sarjapur  Road,1115.0,2.0,2.0,50.0,2
Bannerghatta Road,1215.0,2.0,1.0,65.0,2
Sarjapur  Road,1263.0,2.0,1.0,78.0,2
Kanakpura Road,1090.0,2.0,1.0,54.54,2
Electronic City Phase II,1160.0,2.0,1.0,33.51,2
Electronic City,530.0,1.0,1.0,13.5,1
Kanakpura Road,525.0,1.0,1.0,26.0,1
Kanakpura Road,700.0,2.0,1.0,40.0,2
Hebbal,1740.0,2.0,1.0,137.0,3
Hennur Road,1480.0,2.0,2.0,65.0,2
Marathahalli,1595.0,3.0,2.0,90.0,3
Kanakpura Road,950.0,2.0,1.0,45.0,2
Raja Rajeshwari Nagar,1419.0,2.0,1.0,60.42,2
Hennur Road,1482.0,2.0,1.0,92.0,3
Marathahalli,1350.0,2.0,2.0,60.0,2
Kanakpura Road,1100.0,3.0,2.0,53.0,3
Bannerghatta Road,1215.0,2.0,0.0,50.0,2
Thanisandra,1697.0,3.0,2.0,115.0,3
Electronic City,1200.0,2.0,1.0,34.66,2
7th Phase JP Nagar,1200.0,2.0,2.0,200.0,2
Electronic City,1631.0,3.0,2.0,80.0,3
Whitefield,1806.0,3.0,3.0,85.0,3
Raja Rajeshwari Nagar,1420.0,2.0,2.0,60.0,3
Marathahalli,1045.0,2.0,3.0,60.0,2
Electronic City,750.0,1.0,1.0,35.0,1
Yelahanka,1065.0,2.0,1.0,40.84,2
Electronic City,1200.0,3.0,2.0,150.0,3
Hennur Road,1100.0,2.0,1.0,78.0,3
Whitefield,1300.0,2.0,2.0,78.0,2
Yelahanka,1285.0,2.0,2.0,56.0,2
Whitefield,1235.0,2.0,2.0,47.0,2
Sarjapur  Road,1700.0,3.0,1.0,118.0,3
Whitefield,1059.0,2.0,1.0,57.0,2
Kanakpura Road,1110.0,2.0,2.0,43.0,2
Electronic City,550.0,2.0,1.0,16.0,2
Uttarahalli,1075.0,2.0,1.0,40.0,2
Electronic City Phase II,1400.0,2.0,2.0,40.43,3
Whitefield,1545.0,3.0,2.0,79.0,3
Hebbal,1328.0,2.0,2.0,60.0,3
Sarjapur  Road,915.0,2.0,2.0,37.0,2
Marathahalli,1900.0,3.0,3.0,123.0,3
Thanisandra,1917.0,3.0,2.0,110.0,3
Kanakpura Road,525.0,1.0,1.0,27.5,1
Thanisandra,1226.0,2.0,1.0,65.0,2
Sarjapur  Road,1220.0,3.0,2.0,56.0,3
Uttarahalli,1330.0,2.0,1.0,56.0,3
Uttarahalli,1075.0,2.0,1.0,46.76,2
Uttarahalli,1540.0,3.0,0.0,50.0,3
Whitefield,1116.0,2.0,1.0,51.91,2
Yelahanka,654.0,1.0,1.0,38.4,1
Marathahalli,1215.0,2.0,2.0,58.86,2
Yelahanka,1140.0,2.0,1.0,50.66,2
Electronic City Phase II,1025.0,2.0,1.0,29.6,2
Sarjapur  Road,1826.0,3.0,2.0,130.0,3
Sarjapur  Road,1879.0,3.0,2.0,155.0,3
Whitefield,1190.0,2.0,3.0,59.0,2
7th Phase JP Nagar,1680.0,3.0,3.0,130.0,3
Bannerghatta Road,1400.0,3.0,2.0,69.0,3
Whitefield,1730.0,3.0,2.0,125.0,3
Sarjapur  Road,1115.0,2.0,2.0,43.0,2
Kanakpura Road,2254.0,3.0,2.0,170.0,3
Haralur Road,2017.0,3.0,2.0,105.0,3
Electronic City,1800.0,3.0,2.0,95.0,3
Electronic City,1165.0,2.0,1.0,33.64,2
Electronic City,1130.0,2.0,1.0,32.64,2
Electronic City,2010.0,3.0,2.0,201.0,3
Whitefield,1200.0,3.0,1.0,56.0,3
Bannerghatta Road,1760.0,3.0,2.0,67.0,3
Marathahalli,1525.0,3.0,2.0,90.0,3
Hebbal,1100.0,2.0,2.0,42.0,2
Bannerghatta Road,1206.0,2.0,3.0,53.0,2
Uttarahalli,1045.0,2.0,1.0,45.0,2
Whitefield,1116.0,2.0,3.0,51.91,2
Whitefield,1280.0,2.0,2.0,52.0,2
Thanisandra,663.0,1.0,1.0,46.0,1
Kanakpura Road,1200.0,2.0,0.0,62.0,2
Bannerghatta Road,1656.0,2.0,1.0,62.93,3
Sarjapur  Road,1181.0,2.0,1.0,65.0,3
Whitefield,1165.0,2.0,1.0,40.5,2
Bannerghatta Road,1215.0,2.0,1.0,68.0,2
Sarjapur  Road,1691.0,3.0,2.0,93.01,3
Whitefield,1132.0,2.0,1.0,79.28,2
Whitefield,1150.0,2.0,2.0,40.21,2
Kanakpura Road,1250.0,3.0,3.0,62.6,3
Marathahalli,1220.0,2.0,1.0,59.0,2
Haralur Road,1315.0,2.0,1.0,85.0,2
Bannerghatta Road,1532.5,3.0,0.0,84.29,3
Whitefield,1485.0,2.0,1.0,90.0,2
Marathahalli,950.0,2.0,1.0,45.68,2
Sarjapur  Road,1881.0,3.0,2.0,145.0,3
Electronic City,1350.0,3.0,2.0,66.0,3
Whitefield,1225.0,2.0,2.0,47.6,2
Kanakpura Road,2000.0,3.0,3.0,105.0,3
Yelahanka,602.0,1.0,1.0,33.0,1
Yelahanka,567.0,1.0,1.0,25.0,1
Raja Rajeshwari Nagar,1196.0,2.0,2.0,40.54,2
Electronic City Phase II,1135.0,2.0,2.0,46.0,2
Electronic City,1025.0,2.0,1.0,54.1,2
Whitefield,905.0,1.0,1.0,62.0,1
7th Phase JP Nagar,1675.0,2.0,2.0,135.0,3
Whitefield,840.0,1.0,1.0,57.0,1
Kanakpura Road,1419.59,2.0,1.0,59.0,3
Thanisandra,1732.0,3.0,1.0,85.73,3
Thanisandra,2030.0,4.0,1.0,125.0,3
Thanisandra,1698.0,3.0,2.0,125.0,3
Thanisandra,1874.0,4.0,1.0,130.0,3
Raja Rajeshwari Nagar,1278.0,2.0,1.0,53.76,3
Kanakpura Road,1296.0,2.0,1.0,89.0,2
Yelahanka,1100.0,2.0,1.0,60.0,2
Uttarahalli,1590.0,3.0,2.0,57.0,3
Electronic City,1353.0,2.0,3.0,75.0,2
Yelahanka,2195.0,4.0,2.0,127.0,3
Whitefield,2173.0,3.0,2.0,128.0,3
Yelahanka,1400.0,2.0,2.0,80.54,3
Marathahalli,1020.0,2.0,1.0,57.0,2
Thanisandra,1185.0,2.0,2.0,42.67,2
Sarjapur  Road,1670.0,2.0,3.0,57.0,3
Sarjapur  Road,984.0,2.0,1.0,45.91,2
Electronic City,1575.0,3.0,1.0,94.5,3
Kanakpura Road,1843.0,3.0,2.0,82.0,3
Kanakpura Road,1498.0,3.0,2.0,74.9,3
Electronic City Phase II,1219.0,2.0,1.0,61.25,2
Whitefield,1608.0,2.0,3.0,63.0,3
Electronic City Phase II,900.0,2.0,2.0,32.5,2
Marathahalli,1019.0,2.0,2.0,49.86,2
Yelahanka,654.0,1.0,1.0,38.0,1
Electronic City,1355.0,2.0,1.0,72.9,2
Hennur Road,1685.0,3.0,2.0,95.0,3
Whitefield,1404.0,2.0,2.0,59.0,3
Kanakpura Road,1207.0,2.0,2.0,79.9,2
Kanakpura Road,525.0,1.0,1.0,30.0,1
Sarjapur  Road,1084.0,2.0,3.0,55.0,2
Haralur Road,1520.0,2.0,2.0,96.0,3
Sarjapur  Road,1157.0,2.0,1.0,75.0,3
Uttarahalli,1284.0,2.0,2.0,53.36,2
Hennur Road,1445.0,2.0,1.0,83.0,3
Hebbal,1320.0,2.0,1.0,91.0,2
Whitefield,1495.0,2.0,2.0,79.5,2
Thanisandra,1930.0,4.0,2.0,122.0,3
Kanakpura Road,1450.0,3.0,3.0,60.9,3
Hennur Road,1804.0,3.0,2.0,102.0,3
Electronic City,1250.0,2.0,1.0,62.0,2
Uttarahalli,1125.0,2.0,1.0,47.0,2
Raja Rajeshwari Nagar,1260.0,2.0,1.0,67.39,2
Raja Rajeshwari Nagar,1165.0,2.0,1.0,45.0,2
Whitefield,2140.0,3.0,2.0,139.0,3
7th Phase JP Nagar,1270.0,2.0,2.0,93.0,2
Electronic City,1128.0,2.0,1.0,65.65,2
Electronic City,1110.0,2.0,1.0,39.9,2
Thanisandra,693.0,1.0,1.0,34.3,1
Bannerghatta Road,1181.0,2.0,0.0,55.0,2
Kanakpura Road,1155.0,2.0,1.0,55.5,2
Whitefield,1190.0,2.0,2.0,60.0,2
Whitefield,1113.0,2.0,1.0,62.0,2
Kanakpura Road,1843.0,3.0,2.0,95.84,3
Haralur Road,1520.0,2.0,2.0,96.0,3
Kanakpura Road,1700.0,3.0,3.0,120.0,3
Electronic City,1000.0,2.0,2.0,22.0,2
Kanakpura Road,700.0,2.0,1.0,35.07,2
Whitefield,1991.0,3.0,2.0,104.0,3
Whitefield,1200.0,2.0,2.0,46.13,2
Yelahanka,1756.0,3.0,2.0,125.0,3
Whitefield,1115.0,2.0,1.0,51.91,2
Hebbal,1255.0,2.0,1.0,90.0,3
Sarjapur  Road,1525.0,2.0,2.0,65.0,3
Marathahalli,1050.0,2.0,1.0,65.0,2
Thanisandra,662.0,1.0,1.0,42.0,1
Haralur Road,1243.0,2.0,2.0,46.0,2
Electronic City,1150.0,2.0,1.0,38.08,2
Hebbal,1662.0,3.0,2.0,155.0,3
Haralur Road,1810.0,3.0,2.0,100.0,3
Uttarahalli,1200.0,2.0,2.0,44.0,2
Raja Rajeshwari Nagar,1288.0,2.0,1.0,70.0,3
Bannerghatta Road,1200.0,2.0,2.0,65.0,2
Yelahanka,1282.0,2.0,1.0,48.72,3
Electronic City,1140.0,2.0,1.0,70.93,2
Kanakpura Road,1240.0,2.0,2.0,65.0,2
Raja Rajeshwari Nagar,1140.0,2.0,1.0,49.27,2
Uttarahalli,938.0,2.0,0.0,35.0,2
Kanakpura Road,1366.0,2.0,1.0,83.0,2
Bannerghatta Road,1846.0,3.0,2.0,120.0,3
Bannerghatta Road,1200.0,2.0,2.0,78.0,2
Electronic City,1128.0,2.0,1.0,64.0,2
Hebbal,1269.0,2.0,1.0,73.0,3
Uttarahalli,1135.0,2.0,2.0,39.73,3
Sarjapur  Road,1242.0,2.0,1.0,78.0,2
Whitefield,1150.0,2.0,3.0,44.0,3
Whitefield,1200.0,3.0,2.0,57.15,3
Whitefield,1314.0,2.0,1.0,84.0,2
Electronic City Phase II,1220.0,3.0,1.0,35.23,3
Haralur Road,1243.0,2.0,2.0,46.0,2
Electronic City,1360.0,2.0,1.0,75.0,3
Uttarahalli,1213.0,2.0,2.0,48.0,2
Electronic City Phase II,1116.0,2.0,2.0,37.0,2
7th Phase JP Nagar,2200.0,4.0,2.0,105.0,3
Electronic City Phase II,1065.0,2.0,1.0,30.75,2
Sarjapur  Road,1060.0,2.0,1.0,50.0,2
Electronic City,1500.0,2.0,1.0,78.0,3
Thanisandra,1546.0,3.0,1.0,95.0,3
Marathahalli,1290.0,2.0,2.0,52.0,2
Electronic City Phase II,630.0,1.0,1.0,40.0,1
Uttarahalli,1155.0,2.0,1.0,40.6,2
Uttarahalli,1137.0,2.0,1.0,63.0,2
Electronic City,1060.0,2.0,1.0,52.0,2
Whitefield,1050.0,2.0,3.0,43.0,2
Sarjapur  Road,1104.0,2.0,1.0,34.22,2
Electronic City Phase II,650.0,1.0,1.0,35.0,1
Bannerghatta Road,1200.0,2.0,0.0,125.0,4
Hennur Road,1250.0,2.0,1.0,77.88,3
Marathahalli,1196.0,2.0,2.0,57.95,2
Marathahalli,1360.0,2.0,1.0,101.0,2
Sarjapur  Road,1197.0,2.0,1.0,56.86,2
Hebbal,1036.0,2.0,1.0,50.0,2
Electronic City Phase II,1065.0,2.0,1.0,56.13,2
Whitefield,735.0,2.0,1.0,35.0,2
Uttarahalli,1250.0,2.0,1.0,50.0,3
Hebbal,1250.0,2.0,1.0,55.55,2
Hennur Road,1936.0,3.0,1.0,118.0,3
Kanakpura Road,1330.0,2.0,1.0,107.0,2
Kanakpura Road,900.0,2.0,1.0,41.0,2
Hebbal,1255.0,2.0,1.0,77.68,3
Yelahanka,1180.0,2.0,1.0,56.0,2
Marathahalli,957.0,2.0,1.0,46.9,2
Sarjapur  Road,1939.0,3.0,0.0,98.0,3
Whitefield,1720.0,3.0,2.0,128.0,3
Whitefield,1232.0,2.0,2.0,45.0,2
Haralur Road,1810.0,3.0,2.0,112.0,3
7th Phase JP Nagar,1050.0,2.0,1.0,77.0,2
Kanakpura Road,1328.0,2.0,3.0,91.06,2
Electronic City,1200.0,2.0,2.0,40.5,2
Sarjapur  Road,1565.0,3.0,2.0,78.0,3
Electronic City Phase II,1000.0,2.0,1.0,28.88,2
Sarjapur  Road,1157.0,2.0,1.0,72.0,3
Electronic City,870.0,2.0,1.0,39.5,2
Raja Rajeshwari Nagar,1625.0,2.0,2.0,54.0,3
Kanakpura Road,1220.0,2.0,2.0,60.0,2
Electronic City,660.0,1.0,1.0,15.5,2
Electronic City,890.0,2.0,1.0,40.0,2
Hennur Road,1891.0,3.0,1.0,109.0,3
Marathahalli,1530.0,3.0,2.0,71.0,3
Sarjapur  Road,1400.0,3.0,2.0,55.0,3
Marathahalli,1530.0,3.0,2.0,74.5,3
Raja Rajeshwari Nagar,1270.0,2.0,2.0,62.0,2
Uttarahalli,1134.0,2.0,1.0,45.36,2
Haralur Road,1830.0,3.0,2.0,101.0,3
Bannerghatta Road,1430.0,3.0,2.0,59.0,3
Marathahalli,1840.0,3.0,3.0,98.0,3
Whitefield,1356.0,2.0,1.0,94.84,2
Whitefield,1109.0,2.0,1.0,35.47,2
Raja Rajeshwari Nagar,1279.0,2.0,1.0,53.76,3
Uttarahalli,1310.0,2.0,1.0,85.0,3
Kanakpura Road,1100.0,2.0,1.0,58.0,3
Sarjapur  Road,1830.0,3.0,1.0,119.0,3
Haralur Road,1140.0,2.0,2.0,58.0,2
Hebbal,1075.0,2.0,3.0,52.0,2
Uttarahalli,1250.0,2.0,2.0,50.0,3
Yelahanka,1210.0,2.0,1.0,45.98,2
Thanisandra,1200.0,2.0,1.0,53.5,2
Raja Rajeshwari Nagar,1090.0,2.0,1.0,57.0,2
7th Phase JP Nagar,1035.0,2.0,1.0,39.33,2
Sarjapur  Road,1060.0,2.0,1.0,55.0,2
Electronic City,1500.0,2.0,1.0,77.5,3
7th Phase JP Nagar,1050.0,2.0,1.0,57.0,3
Electronic City,660.0,1.0,1.0,15.0,2
7th Phase JP Nagar,1190.0,2.0,1.0,49.98,2
Whitefield,1220.0,2.0,1.0,55.0,2
Haralur Road,1243.0,2.0,2.0,46.0,2
Sarjapur  Road,1691.0,3.0,2.0,119.0,3
Electronic City,1500.0,2.0,1.0,70.0,3
7th Phase JP Nagar,1850.0,3.0,2.0,140.0,3
Thanisandra,1795.0,3.0,2.0,150.0,3
Raja Rajeshwari Nagar,1240.0,2.0,2.0,42.04,2
Kanakpura Road,1843.0,3.0,2.0,85.0,3
Uttarahalli,1215.0,2.0,2.0,52.85,3
Haralur Road,1000.0,2.0,1.0,78.0,2
Thanisandra,1056.0,2.0,2.0,70.0,2
Sarjapur  Road,1242.0,2.0,1.0,75.0,2
Electronic City,1400.0,2.0,1.0,40.45,3
Whitefield,1140.0,2.0,2.0,45.0,2
Yelahanka,1847.0,3.0,3.0,92.0,3
Thanisandra,1185.0,2.0,2.0,45.0,2
Sarjapur  Road,691.0,1.0,1.0,31.1,1
Yelahanka,654.0,1.0,1.0,36.25,1
Whitefield,1216.0,2.0,1.0,75.0,2
Thanisandra,1588.0,3.0,1.0,75.55,3
Sarjapur  Road,1222.0,2.0,1.0,68.0,3
Hebbal,1080.0,2.0,1.0,54.0,2
Hebbal,1299.0,2.0,1.0,97.0,2
Whitefield,750.0,1.0,1.0,51.0,1
Hebbal,1420.0,2.0,1.0,99.39,2
Electronic City,1070.0,2.0,1.0,52.0,2
Hennur Road,1981.0,3.0,1.0,134.0,3
7th Phase JP Nagar,2000.0,3.0,2.0,77.0,3
Sarjapur  Road,1132.0,2.0,1.0,70.0,2
Marathahalli,1146.0,2.0,1.0,70.0,2
Yelahanka,1560.0,2.0,2.0,98.0,3
7th Phase JP Nagar,1080.0,2.0,2.0,75.0,2
Whitefield,1725.0,3.0,2.0,106.0,3
Electronic City Phase II,1070.0,2.0,2.0,45.0,2
Kanakpura Road,1299.0,2.0,1.0,105.0,2
Yelahanka,660.0,1.0,0.0,48.0,1
Whitefield,1100.0,2.0,2.0,52.0,2
Whitefield,1216.0,2.0,1.0,69.06,2
Whitefield,1205.0,2.0,2.0,58.0,2
7th Phase JP Nagar,1128.0,2.0,1.0,60.0,2
Kanakpura Road,1480.0,2.0,2.0,64.23,3
Electronic City,1090.0,2.0,1.0,31.48,1
Hebbal,1645.0,3.0,2.0,117.0,3
Uttarahalli,1107.0,2.0,1.0,45.0,2
Raja Rajeshwari Nagar,1258.0,2.0,1.0,63.53,2
7th Phase JP Nagar,1000.0,2.0,2.0,60.0,2
Whitefield,1740.0,3.0,3.0,85.0,3
Uttarahalli,1270.0,2.0,1.0,55.25,3
Sarjapur  Road,1129.0,2.0,1.0,69.0,2
Whitefield,1000.0,2.0,1.0,35.0,2
7th Phase JP Nagar,1300.0,2.0,2.0,52.0,3
Electronic City,1615.0,3.0,2.0,97.0,3
Sarjapur  Road,1157.0,2.0,1.0,53.99,3
Kanakpura Road,458.0,1.0,0.0,33.66,1
Whitefield,805.0,2.0,2.0,35.0,2
Uttarahalli,1175.0,2.0,1.0,47.0,2
Kanakpura Road,1100.0,3.0,2.0,53.0,3
Sarjapur  Road,1850.0,3.0,3.0,140.0,3
Bannerghatta Road,1260.0,2.0,2.0,70.0,2
Whitefield,1024.0,2.0,1.0,32.0,2
Electronic City,1386.0,2.0,1.0,85.0,2
Yelahanka,1270.0,2.0,2.0,57.0,2
Marathahalli,1125.0,2.0,2.0,56.8,2
Sarjapur  Road,1000.0,2.0,2.0,40.0,2
Raja Rajeshwari Nagar,600.0,1.0,1.0,22.0,1
Sarjapur  Road,1145.0,2.0,2.0,75.0,2
Uttarahalli,1279.0,2.0,2.0,48.0,2
Sarjapur  Road,1067.0,2.0,1.0,60.0,2
Uttarahalli,882.0,2.0,1.0,30.0,2
Whitefield,709.0,1.0,0.0,34.385,1
Thanisandra,1142.5,2.0,0.0,43.415,2
Kanakpura Road,1100.0,3.0,1.0,52.97,3
Hebbal,1420.0,2.0,1.0,99.26,2
Raja Rajeshwari Nagar,1510.0,2.0,2.0,55.0,3
Uttarahalli,1270.0,2.0,2.0,55.25,3
Sarjapur  Road,1374.0,3.0,2.0,51.0,3
Hebbal,1200.0,2.0,2.0,48.0,2
Hennur Road,2000.0,4.0,0.0,90.0,4
Thanisandra,1114.0,2.0,1.0,39.0,2
Haralur Road,2017.0,3.0,2.0,125.0,3
Whitefield,1315.0,2.0,2.0,69.5,2
Hebbal,1100.0,2.0,1.0,60.0,2
Sarjapur  Road,1390.0,2.0,2.0,62.0,2
Haralur Road,1976.0,3.0,2.0,92.0,3
Kanakpura Road,1450.0,3.0,3.0,54.3,3
Sarjapur  Road,984.0,2.0,1.0,45.91,2
Uttarahalli,1345.0,2.0,1.0,57.0,3
Whitefield,1370.0,2.0,2.0,56.0,2
Uttarahalli,1290.0,2.0,2.0,56.12,3
Marathahalli,1650.0,3.0,3.0,86.45,3
Kanakpura Road,1450.0,3.0,2.0,65.0,3
Kanakpura Road,1180.0,2.0,2.0,57.0,2
Whitefield,1155.0,2.0,2.0,55.0,2
Sarjapur  Road,1115.0,2.0,2.0,50.0,2
Electronic City,1020.0,2.0,1.0,29.46,2
Whitefield,1585.0,3.0,2.0,88.0,3
Electronic City,1650.0,3.0,2.0,100.0,3
Electronic City Phase II,1220.0,3.0,1.0,35.25,3
Whitefield,1346.0,2.0,1.0,100.0,3
Sarjapur  Road,1200.0,3.0,1.0,95.0,3
Bannerghatta Road,1246.0,2.0,2.0,47.35,2
Hennur Road,1891.0,3.0,1.0,109.0,3
Whitefield,905.0,1.0,1.0,60.0,1
Raja Rajeshwari Nagar,1608.0,2.0,2.0,85.0,2
Whitefield,630.5,1.0,0.0,32.15,1
Haralur Road,1243.0,2.0,2.0,46.0,2
Raja Rajeshwari Nagar,1196.0,2.0,2.0,51.15,2
Thanisandra,1430.0,2.0,2.0,51.46,3
Electronic City,1025.0,2.0,1.0,53.9,2
Marathahalli,1780.0,4.0,3.0,175.0,4
Kanakpura Road,1050.0,2.0,1.0,35.0,2
Hennur Road,1445.0,2.0,1.0,89.56,3
Electronic City,1530.0,2.0,1.0,45.9,3
Sarjapur  Road,2230.0,4.0,3.0,225.0,4
Sarjapur  Road,984.0,2.0,1.0,45.75,2
Thanisandra,1735.0,3.0,3.0,135.0,3
Electronic City,1470.0,2.0,1.0,44.1,3
Hennur Road,1482.0,2.0,3.0,97.0,3
Haralur Road,1520.0,2.0,2.0,125.0,3
Hebbal,823.0,2.0,1.0,50.63,2
Thanisandra,1131.0,2.0,0.0,55.975,2
Electronic City Phase II,1000.0,2.0,1.0,28.88,2
Thanisandra,1800.0,3.0,3.0,90.0,3
Electronic City,825.0,2.0,1.0,30.0,2
Marathahalli,1583.0,3.0,3.0,115.0,3
Electronic City,1175.0,2.0,1.0,47.0,2
Sarjapur  Road,2145.0,3.0,3.0,190.0,3
Raja Rajeshwari Nagar,1751.0,3.0,3.0,72.0,3
Uttarahalli,1050.0,2.0,1.0,42.0,2
Sarjapur  Road,2180.0,4.0,3.0,180.0,3
Sarjapur  Road,1403.0,3.0,1.0,56.0,3
Yelahanka,1274.0,2.0,2.0,48.42,2
Electronic City,1275.0,3.0,1.0,70.0,3
Raja Rajeshwari Nagar,1196.0,2.0,2.0,40.54,2
Hennur Road,1450.0,3.0,2.0,79.0,3
Electronic City,1125.0,2.0,1.0,28.13,2
7th Phase JP Nagar,1765.0,3.0,2.0,118.0,3
Electronic City Phase II,1790.0,3.0,3.0,100.0,3
Raja Rajeshwari Nagar,945.0,2.0,1.0,45.0,2
Hebbal,1150.0,2.0,1.0,55.0,2
Electronic City,1060.0,2.0,1.0,51.0,2
Kanakpura Road,1699.0,3.0,3.0,81.94,3
7th Phase JP Nagar,1420.0,2.0,2.0,96.0,3
Electronic City,1070.0,2.0,1.0,48.0,2
Whitefield,1216.0,2.0,1.0,69.0,2
Kanakpura Road,1703.0,3.0,2.0,126.0,3
Raja Rajeshwari Nagar,1693.0,3.0,1.0,71.38,3
Whitefield,1570.0,3.0,3.0,88.0,3
Sarjapur  Road,1525.0,2.0,3.0,63.0,3
Sarjapur  Road,1428.0,2.0,2.0,66.0,3
Sarjapur  Road,1850.0,3.0,2.0,89.0,3
Yelahanka,651.0,1.0,1.0,17.5,1
Yelahanka,697.0,1.0,0.0,45.0,1
Haralur Road,1520.0,2.0,2.0,90.0,3
Thanisandra,1702.0,3.0,2.0,130.0,3
Sarjapur  Road,1929.0,4.0,1.0,101.0,3
Haralur Road,1243.0,2.0,2.0,45.0,2
Marathahalli,1933.0,3.0,2.0,140.0,3
Thanisandra,1296.0,2.0,2.0,83.0,2
Electronic City,630.0,1.0,1.0,34.65,1
Bannerghatta Road,1486.0,3.0,1.0,83.22,3
Sarjapur  Road,1864.0,3.0,2.0,105.0,4
Thanisandra,1573.0,3.0,2.0,115.0,3
Whitefield,1200.0,2.0,1.0,46.13,2
Bannerghatta Road,1247.0,2.0,1.0,47.39,2
Electronic City,1571.0,3.0,2.0,105.0,3
Hebbal,1800.0,3.0,2.0,140.0,3
Yelahanka,1890.0,3.0,2.0,109.0,3
Yelahanka,1455.0,3.0,1.0,61.5,3
Bannerghatta Road,1527.0,3.0,1.0,142.0,3
Whitefield,1270.0,2.0,1.0,110.0,2
Bannerghatta Road,1880.0,3.0,2.0,95.0,3
Electronic City Phase II,1020.0,2.0,1.0,30.6,2
Hennur Road,1350.0,2.0,3.0,49.0,2
Raja Rajeshwari Nagar,1060.0,2.0,1.0,48.0,2
Electronic City,605.0,1.0,0.0,13.31,1
Whitefield,1275.0,2.0,3.0,65.0,3
Yelahanka,1664.0,3.0,0.0,73.95,3
Whitefield,1240.0,2.0,2.0,70.0,2
